name,birth_date,email,password,phone,DNI,tarjeta_sanitaria,preferencias_horarias
Vilma de Múgica,2012-12-19,vilmde636@test.com,test_password,+34820945293,71414884E,AN 5061739509,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Esmeralda Cazorla Casals,1976-01-21,esmecazo238@fakeemail.com,test_password,+34883967828,10216925A,AN 4514853742,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Filomena Acosta Pino,1997-09-28,filoacos655@fakeemail.com,test_password,+34943290848,92849730H,AN 4978808321,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
María Del Carmen Torrijos Roca,1990-10-06,maridel748@fakeemail.com,test_password,+34806541592,70373989S,AN 6172883933,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Olivia Lloret Román,2016-12-11,olivllor301@test.com,test_password,+34980096845,03496609B,AN 4072232015,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Benita Domingo Salamanca,2008-04-02,benidomi898@test.com,test_password,+34846849579,95633207N,AN 8021209721,"{""lunes"": [], ""martes"": [""M"", ""T""], ""miercoles"": [], ""jueves"": [""T""], ""viernes"": [""T""]}"
Felix Jimenez Fuentes,1961-02-19,felijime634@fakeemail.com,test_password,+34979024661,46094107Z,AN 1979641959,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Emilio Pallarès Ros,2020-03-30,emilpall296@test.com,test_password,+34987936682,22215088D,AN 3718204646,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Vicenta Tirado Pineda,1961-06-10,vicetira273@fakeemail.com,test_password,+34978748715,05916827P,AN 6453713454,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Bernardita Andreu Quirós,1958-06-27,bernandr412@example.com,test_password,+34979241233,50676404K,AN 1611906409,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Olga León Ramis,2016-10-25,olgaleon355@example.com,test_password,+34828005451,61065807W,AN 2846349045,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Aurora Almazán Bejarano,1975-05-13,auroalma642@test.com,test_password,+34947534444,86907522K,AN 0844726810,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M""], ""jueves"": [""M"", ""T""], ""viernes"": []}"
Rosalina de Canet,1992-07-07,rosade744@example.com,test_password,+34845883473,25483108M,AN 2473472541,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Omar Huerta,2014-07-25,omarhuer168@example.com,test_password,+34846230160,66074300S,AN 3088046990,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Aitana de Baeza,2022-09-07,aitade242@test.com,test_password,+34821188004,56510979W,AN 0321011625,"{""lunes"": [], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M""]}"
Julio César Diéguez,2021-05-07,julicesa274@example.com,test_password,+34957592765,02663759Z,AN 5299957905,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Mateo de Coloma,2024-04-02,matede993@test.com,test_password,+34985585321,54771485K,AN 4943536989,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Octavio Laguna Montenegro,1968-10-30,octalagu54@test.com,test_password,+34872765734,19322046E,AN 5427573539,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Wilfredo Vélez Luís,2012-10-09,wilfvele921@fakeemail.com,test_password,+34902486996,53108171K,AN 9919179804,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Aránzazu Moya Araujo,1980-10-23,aranmoya238@example.com,test_password,+34868387977,43713302P,AN 5752015488,"{""lunes"": [], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""M"", ""T""]}"
Guiomar Coello Osorio,1994-07-10,guiocoel664@test.com,test_password,+34901268985,53018179M,AN 0354375519,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Maricruz Pozo Escobar,1975-05-13,maripozo695@example.com,test_password,+34984639732,33229784M,AN 9470177181,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Cándido de Palau,1980-03-13,candde354@example.com,test_password,+34877563775,64485145E,AN 7547659203,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Julia Murcia Bastida,2016-02-03,julimurc705@example.com,test_password,+34847330290,15243013Q,AN 8513844442,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Rosalinda Vera Rocamora,1946-08-18,rosavera244@test.com,test_password,+34731300441,66309288N,AN 6449651211,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Isabel Ibañez,1957-01-24,isabiban289@test.com,test_password,+34884219768,95385351G,AN 7395825110,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Zoraida Avilés Ros,1980-04-08,zoraavil231@fakeemail.com,test_password,+34987962682,15191143B,AN 8896759973,"{""lunes"": [], ""martes"": [""M""], ""miercoles"": [""T""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Pastora del Jiménez,1977-12-30,pastdel936@example.com,test_password,+34884523968,42935729L,AN 5880922445,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Olegario del Pulido,1969-02-27,olegdel456@test.com,test_password,+34712147861,39506922Y,AN 9718615894,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Ale Danilo Carbó Madrigal,2017-04-19,aledani456@test.com,test_password,+34822575453,63686859C,AN 7905006317,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Sabina Amelia Peiró Sabater,1978-11-07,sabiamel849@example.com,test_password,+34844153689,32335435B,AN 8195100647,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Ruy Mínguez Prat,1953-08-22,ruyming840@test.com,test_password,+34880045161,44354450P,AN 5561644813,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Rafa Badía Alcaraz,1948-07-28,rafabadi668@example.com,test_password,+34984496801,32113754G,AN 3897733543,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Jessica Jimenez Gálvez,1957-07-07,jessjime545@test.com,test_password,+34807542717,50704098T,AN 9659963237,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Abilio Bustamante-Calvet,1969-08-25,abilbust147@fakeemail.com,test_password,+34941852504,58131686Z,AN 2646930298,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
María Teresa Montenegro Castelló,1977-12-28,maritere769@test.com,test_password,+34876138620,90541251A,AN 1443115402,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Florentina Villegas Prats,1990-05-11,florvill62@fakeemail.com,test_password,+34871365853,72713180Z,AN 0404222147,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Hugo Avilés Falcó,1974-11-06,hugoavil262@example.com,test_password,+34961574278,64247077G,AN 0996972877,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Eliana Belda Atienza,1973-02-15,eliabeld46@example.com,test_password,+34983657086,08600140A,AN 8332863772,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Loida Flores Cano,1953-08-14,loidflor256@example.com,test_password,+34881070680,14064928Z,AN 9493352178,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Cirino Dominguez Costa,1983-04-30,ciridomi259@test.com,test_password,+34949749866,47645559R,AN 6620573616,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Gonzalo Arnal Nieto,1959-05-30,gonzarna425@example.com,test_password,+34843240452,67667924S,AN 3869422397,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Amparo Torrents Torralba,1937-05-27,ampatorr261@fakeemail.com,test_password,+34882090398,03413904Z,AN 7707171346,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Iris Olivé Agustín,1980-05-21,irisoliv384@fakeemail.com,test_password,+34926293111,36032758S,AN 1495347367,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Trini Torrent-Lozano,2024-05-10,trintorr600@example.com,test_password,+34803327953,85613037E,AN 2556674164,"{""lunes"": [""M""], ""martes"": [], ""miercoles"": [""M"", ""T""], ""jueves"": [""T""], ""viernes"": [""M"", ""T""]}"
Artemio Ortiz Navarrete,1997-02-04,arteorti317@example.com,test_password,+34843408369,60480137G,AN 8797201974,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Roxana Gargallo Folch,1943-03-12,roxagarg166@test.com,test_password,+34942314159,27059250A,AN 6411005737,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Berta Becerra,1961-08-30,bertbece77@test.com,test_password,+34924675214,29878680R,AN 9464534801,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Filomena Casanova,1970-03-01,filocasa786@fakeemail.com,test_password,+34742305882,91496767F,AN 4696251161,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Luna Rocamora-Olivera,1982-01-06,lunaroca765@example.com,test_password,+34845813100,89193970Q,AN 0110301214,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Edelmiro Carreras,1937-11-01,edelcarr552@example.com,test_password,+34807554691,06877156H,AN 5604766937,"{""lunes"": [], ""martes"": [""M"", ""T""], ""miercoles"": [""T""], ""jueves"": [""M""], ""viernes"": []}"
Máximo Plana-Caballero,1955-03-13,maxiplan433@fakeemail.com,test_password,+34688545571,93342722M,AN 3608721088,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Sonia Asenjo Almagro,2014-01-12,soniasen145@example.com,test_password,+34867855373,11377510P,AN 5929188012,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Manuela Rius Arias,1990-10-14,manurius749@test.com,test_password,+34874504592,71678090Q,AN 8821706005,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Eliana Buendía Millán,1973-05-26,eliabuen666@test.com,test_password,+34844073160,57315868Y,AN 3354131152,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Jose Luis Paredes Figueras,1993-02-12,joseluis596@fakeemail.com,test_password,+34971505464,45533458J,AN 2284114811,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Cipriano Román Peñalver Ochoa,1970-04-12,ciprroma979@fakeemail.com,test_password,+34827806835,14793960S,AN 2443913658,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Raquel Iriarte Barrera,1946-11-28,raquiria305@example.com,test_password,+34900949031,89850390Q,AN 3828736908,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Alicia Rivera Rubio,1936-10-23,alicrive471@example.com,test_password,+34900736491,31693038G,AN 5575925923,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Andrés Barceló Asenjo,1931-11-27,andrbarc661@test.com,test_password,+34972847664,37884463J,AN 4882701185,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Rosa María Figuerola Iriarte,1972-05-16,rosamari673@example.com,test_password,+34975471091,29272085P,AN 6344358202,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Fito Carreras,1976-08-14,fitocarr799@example.com,test_password,+34827772478,35137729P,AN 7565882009,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Heriberto Barbero Villalonga,2008-09-15,heribarb827@example.com,test_password,+34745370675,84111808A,AN 4785656469,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Nicolás Luque Cuenca,1992-02-25,nicoluqu294@example.com,test_password,+34844093409,53504438K,AN 6453599148,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Prudencio Pla,1954-06-20,prudpla710@fakeemail.com,test_password,+34975096480,25489931C,AN 8162106965,"{""lunes"": [""T""], ""martes"": [""M""], ""miercoles"": [""T""], ""jueves"": [], ""viernes"": [""M""]}"
Eleuterio Balaguer Tudela,1972-11-20,eleubala92@test.com,test_password,+34872352838,85463086P,AN 4994975752,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
América Candelaria Amigó Ramírez,1947-09-18,amercand540@test.com,test_password,+34978174308,50952260S,AN 0550234563,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Fátima Puga Perelló,2003-04-17,fatipuga938@example.com,test_password,+34946894193,83271440D,AN 8886506198,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Jose Manuel Manso Rosado,1948-06-27,josemanu755@test.com,test_password,+34883566401,17924058C,AN 8571706361,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Genoveva de Calzada,1933-08-17,genode243@example.com,test_password,+34971426095,76214236X,AN 8100813857,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Zoraida Rocha-Huguet,1939-11-06,zoraroch521@example.com,test_password,+34925226857,88083451Y,AN 5427986366,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Poncio Varela Rubio,1953-03-07,poncvare274@example.com,test_password,+34842504259,31503513E,AN 9726208446,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Albano Diéguez Alberola,2010-10-07,albadieg60@fakeemail.com,test_password,+34872688800,45935444M,AN 4571976131,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
Valerio Tirado Prats,1991-06-28,valetira408@test.com,test_password,+34848573354,70516985C,AN 5834293776,"{""lunes"": [""M"", ""T""], ""martes"": [""M"", ""T""], ""miercoles"": [""M"", ""T""], ""jueves"": [""M"", ""T""], ""viernes"": [""M"", ""T""]}"
Cayetano Cuervo Uriarte,1994-02-17,cayecuer655@test.com,test_password,+34943406282,51445312Q,AN 8322792317,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Onofre Valls Río,1967-08-08,onofvall190@example.com,test_password,+34842291033,67223002M,AN 2227344095,"{""lunes"": [""M"", ""T""], ""martes"": [""M""], ""miercoles"": [], ""jueves"": [], ""viernes"": [""M""]}"
Guillermo Peñalver Vallés,1953-04-03,guilpena95@example.com,test_password,+34975596976,78688539L,AN 2581862855,"{""lunes"": [""T""], ""martes"": [], ""miercoles"": [""M""], ""jueves"": [], ""viernes"": [""M""]}"
Maribel Iglesias-Yáñez,1972-03-18,mariigle311@test.com,test_password,+34823839952,26189238N,AN 0696163176,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Etelvina Sedano,1975-06-14,etelseda840@example.com,test_password,+34732710837,73584142N,AN 1149393677,"{""lunes"": [""M""], ""martes"": [""M""], ""miercoles"": [""M""], ""jueves"": [""M""], ""viernes"": [""M""]}"
Sol Vilar Vargas,2015-10-03,solvila333@fakeemail.com,test_password,+34983117336,48252795Z,AN 3106977038,"{""lunes"": [""T""], ""martes"": [""T""], ""miercoles"": [""T""], ""jueves"": [""T""], ""viernes"": [""T""]}"
