name,email,password,phone,duracion_cita,especialidad,agenda
Cecilia Rosselló Gonzalez,ceciross98@example.com,test_password,+34943960909,45,Oncología,"{""2026-02-22"": [], ""2026-02-23"": [""08:00-15:00""], ""2026-02-24"": [""08:00-15:00""], ""2026-02-25"": [""08:00-15:00""], ""2026-02-26"": [""08:00-15:00""], ""2026-02-27"": [""08:00-15:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""08:00-15:00""], ""2026-03-03"": [""08:00-15:00""], ""2026-03-04"": [""08:00-15:00""], ""2026-03-05"": [""08:00-15:00""], ""2026-03-06"": [""08:00-15:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Arcelia Bautista-Lara,arcebaut469@test.com,test_password,+34978000486,30,Neurología,"{""2026-02-22"": [], ""2026-02-23"": [""08:00-15:00""], ""2026-02-24"": [""08:00-15:00""], ""2026-02-25"": [""08:00-15:00""], ""2026-02-26"": [""08:00-15:00""], ""2026-02-27"": [""08:00-15:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""08:00-15:00""], ""2026-03-03"": [], ""2026-03-04"": [], ""2026-03-05"": [""08:00-15:00""], ""2026-03-06"": [""08:00-15:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Quirino Gilberto Vázquez Tenorio,quirgilb376@test.com,test_password,+34977420930,45,Neurología,"{""2026-02-22"": [], ""2026-02-23"": [""08:00-15:00""], ""2026-02-24"": [""08:00-15:00""], ""2026-02-25"": [""08:00-15:00""], ""2026-02-26"": [""08:00-15:00""], ""2026-02-27"": [""08:00-15:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""08:00-15:00""], ""2026-03-03"": [""08:00-15:00""], ""2026-03-04"": [""08:00-15:00""], ""2026-03-05"": [""08:00-15:00""], ""2026-03-06"": [""08:00-15:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Remigio Cánovas Pomares,remicano315@example.com,test_password,+34856038902,15,Traumatología,"{""2026-02-22"": [], ""2026-02-23"": [], ""2026-02-24"": [""08:00-15:00""], ""2026-02-25"": [""08:00-15:00""], ""2026-02-26"": [""08:00-15:00""], ""2026-02-27"": [""08:00-15:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""08:00-15:00""], ""2026-03-03"": [""08:00-15:00""], ""2026-03-04"": [""08:00-15:00""], ""2026-03-05"": [], ""2026-03-06"": [""08:00-15:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Loida Mate Torrent,loidmate336@example.com,test_password,+34820893892,15,Oncología,"{""2026-02-22"": [], ""2026-02-23"": [""08:00-15:00""], ""2026-02-24"": [""08:00-15:00""], ""2026-02-25"": [""08:00-15:00""], ""2026-02-26"": [""08:00-15:00""], ""2026-02-27"": [""08:00-15:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""08:00-15:00""], ""2026-03-03"": [""08:00-15:00""], ""2026-03-04"": [""08:00-15:00""], ""2026-03-05"": [""08:00-15:00""], ""2026-03-06"": [""08:00-15:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Primitivo Pozo Amigó,primpozo730@test.com,test_password,+34877514757,45,Dermatología,"{""2026-02-22"": [], ""2026-02-23"": [""08:00-15:00""], ""2026-02-24"": [], ""2026-02-25"": [""08:00-15:00""], ""2026-02-26"": [""08:00-15:00""], ""2026-02-27"": [""08:00-15:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""08:00-15:00""], ""2026-03-03"": [], ""2026-03-04"": [""08:00-15:00""], ""2026-03-05"": [], ""2026-03-06"": [""08:00-15:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Candela de Noguera,candde584@fakeemail.com,test_password,+34928072184,30,Ginecología,"{""2026-02-22"": [], ""2026-02-23"": [""08:00-15:00""], ""2026-02-24"": [""08:00-15:00""], ""2026-02-25"": [], ""2026-02-26"": [""08:00-15:00""], ""2026-02-27"": [""08:00-15:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [], ""2026-03-03"": [""08:00-15:00""], ""2026-03-04"": [], ""2026-03-05"": [""08:00-15:00""], ""2026-03-06"": [""08:00-15:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Arsenio del Torralba,arsedel944@example.com,test_password,+34921446255,15,Psiquiatría,"{""2026-02-22"": [], ""2026-02-23"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-24"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-25"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-26"": [], ""2026-02-27"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-03"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-04"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-05"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-06"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-07"": [], ""2026-03-08"": []}"
Narcisa Peiró-Hernández,narcpeir429@test.com,test_password,+34849335206,15,Pediatría,"{""2026-02-22"": [], ""2026-02-23"": [""15:00-21:00""], ""2026-02-24"": [""15:00-21:00""], ""2026-02-25"": [""15:00-21:00""], ""2026-02-26"": [""15:00-21:00""], ""2026-02-27"": [""15:00-21:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [], ""2026-03-03"": [""15:00-21:00""], ""2026-03-04"": [""15:00-21:00""], ""2026-03-05"": [""15:00-21:00""], ""2026-03-06"": [""15:00-21:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Tomasa Fuente Fuertes,tomafuen94@test.com,test_password,+34721503505,30,Neurología,"{""2026-02-22"": [], ""2026-02-23"": [""15:00-21:00""], ""2026-02-24"": [""15:00-21:00""], ""2026-02-25"": [""15:00-21:00""], ""2026-02-26"": [""15:00-21:00""], ""2026-02-27"": [""15:00-21:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""15:00-21:00""], ""2026-03-03"": [""15:00-21:00""], ""2026-03-04"": [""15:00-21:00""], ""2026-03-05"": [""15:00-21:00""], ""2026-03-06"": [""15:00-21:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Estrella Beltran Hurtado,estrbelt357@example.com,test_password,+34971936163,15,Dermatología,"{""2026-02-22"": [], ""2026-02-23"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-24"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-25"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-26"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-27"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [], ""2026-03-03"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-04"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-05"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-06"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-07"": [], ""2026-03-08"": []}"
Lara Jiménez Garcés,larajime934@test.com,test_password,+34986682416,15,Medicina General,"{""2026-02-22"": [], ""2026-02-23"": [""15:00-21:00""], ""2026-02-24"": [""15:00-21:00""], ""2026-02-25"": [""15:00-21:00""], ""2026-02-26"": [""15:00-21:00""], ""2026-02-27"": [], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""15:00-21:00""], ""2026-03-03"": [""15:00-21:00""], ""2026-03-04"": [""15:00-21:00""], ""2026-03-05"": [""15:00-21:00""], ""2026-03-06"": [""15:00-21:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Casandra Noguera Ramos,casanogu209@example.com,test_password,+34977248592,60,Traumatología,"{""2026-02-22"": [], ""2026-02-23"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-24"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-25"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-26"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-27"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-03"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-04"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-05"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-06"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-07"": [], ""2026-03-08"": []}"
Marco Mariscal Gimenez,marcmari965@test.com,test_password,+34883360620,15,Cardiología,"{""2026-02-22"": [], ""2026-02-23"": [""15:00-21:00""], ""2026-02-24"": [], ""2026-02-25"": [""15:00-21:00""], ""2026-02-26"": [], ""2026-02-27"": [""15:00-21:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""15:00-21:00""], ""2026-03-03"": [""15:00-21:00""], ""2026-03-04"": [""15:00-21:00""], ""2026-03-05"": [""15:00-21:00""], ""2026-03-06"": [""15:00-21:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Lucio Jenaro Sáenz Álamo,lucijena695@fakeemail.com,test_password,+34842312571,45,Oncología,"{""2026-02-22"": [], ""2026-02-23"": [""15:00-21:00""], ""2026-02-24"": [], ""2026-02-25"": [""15:00-21:00""], ""2026-02-26"": [""15:00-21:00""], ""2026-02-27"": [""15:00-21:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""15:00-21:00""], ""2026-03-03"": [], ""2026-03-04"": [""15:00-21:00""], ""2026-03-05"": [], ""2026-03-06"": [""15:00-21:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Águeda Martin Uría,aguemart303@example.com,test_password,+34984264078,30,Medicina General,"{""2026-02-22"": [], ""2026-02-23"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-24"": [""15:00-21:00""], ""2026-02-25"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-26"": [""15:00-21:00""], ""2026-02-27"": [""15:00-21:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""15:00-21:00""], ""2026-03-03"": [""15:00-21:00""], ""2026-03-04"": [""15:00-21:00""], ""2026-03-05"": [""15:00-21:00""], ""2026-03-06"": [], ""2026-03-07"": [], ""2026-03-08"": []}"
Eduardo Quesada Hurtado,eduaques421@fakeemail.com,test_password,+34841315807,60,Oncología,"{""2026-02-22"": [], ""2026-02-23"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-24"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-25"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-26"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-27"": [""09:00-13:30"", ""16:00-19:30""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-03"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-04"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-05"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-06"": [""09:00-13:30"", ""16:00-19:30""], ""2026-03-07"": [], ""2026-03-08"": []}"
Liliana Querol Tello,liliquer145@test.com,test_password,+34920822783,45,Oftalmología,"{""2026-02-22"": [], ""2026-02-23"": [""15:00-21:00""], ""2026-02-24"": [""15:00-21:00""], ""2026-02-25"": [""15:00-21:00""], ""2026-02-26"": [""15:00-21:00""], ""2026-02-27"": [""15:00-21:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [], ""2026-03-03"": [""15:00-21:00""], ""2026-03-04"": [], ""2026-03-05"": [""15:00-21:00""], ""2026-03-06"": [""15:00-21:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Angélica Sastre Planas,angesast324@test.com,test_password,+34849170819,30,Pediatría,"{""2026-02-22"": [], ""2026-02-23"": [""08:00-15:00""], ""2026-02-24"": [""08:00-15:00""], ""2026-02-25"": [""08:00-15:00""], ""2026-02-26"": [""08:00-15:00""], ""2026-02-27"": [""08:00-15:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [], ""2026-03-03"": [""08:00-15:00""], ""2026-03-04"": [""08:00-15:00""], ""2026-03-05"": [], ""2026-03-06"": [""08:00-15:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
Saturnino de Nieto,satude826@example.com,test_password,+34983782797,15,Ginecología,"{""2026-02-22"": [], ""2026-02-23"": [], ""2026-02-24"": [""15:00-21:00""], ""2026-02-25"": [""15:00-21:00""], ""2026-02-26"": [""15:00-21:00""], ""2026-02-27"": [""15:00-21:00""], ""2026-02-28"": [], ""2026-03-01"": [], ""2026-03-02"": [""15:00-21:00""], ""2026-03-03"": [""15:00-21:00""], ""2026-03-04"": [""15:00-21:00""], ""2026-03-05"": [""15:00-21:00""], ""2026-03-06"": [""15:00-21:00""], ""2026-03-07"": [], ""2026-03-08"": []}"
