paciente_dni,medico,fecha_hora,especialidad,motivo,prioridad_peso,id_volante,estado
85463086P,linopere223@test.com,2026-02-23 14:30,Neurología,Volante - Derivación Baja,1.0,ed6c4e9b-4672-48d6-a1d1-6e1f94d03d8b,Confirmada
53108171K,narcpeir429@test.com,2026-02-23 15:00,Pediatría,Renovación de medicación,1.0,,Lista de Espera
70373989S,marcmari965@test.com,2026-02-23 15:00,Cardiología,Volante - Derivación Baja,1.0,854a8de2-f0ca-4b78-b7bd-347d7f683e4e,Confirmada
11377510P,liliquer145@test.com,2026-02-23 15:00,Oftalmología,Volante - Derivación Baja,1.0,9cf30503-195f-4cf4-ad6f-d40ea61bfd15,Confirmada
53108171K,narcpeir429@test.com,2026-02-23 15:15,Pediatría,Consulta General,1.0,,Lista de Espera
53108171K,narcpeir429@test.com,2026-02-23 15:30,Pediatría,Renovación de medicación,1.0,,Lista de Espera
85613037E,marcmari965@test.com,2026-02-23 15:30,Cardiología,Volante - Derivación Baja,1.0,d2413c0d-0dd8-4e5f-b793-48818e7b7112,Lista de Espera
06877156H,larajime934@test.com,2026-02-23 15:45,Medicina General,Revisión de analíticas,1.0,,Confirmada
66309288N,liliquer145@test.com,2026-02-23 15:45,Oftalmología,Volante - Derivación Baja,1.0,2d5debd4-5436-4dad-bdc2-8ac67adb619f,Lista de Espera
84111808A,cariflor149@test.com,2026-02-23 16:00,Ginecología,Volante - Derivación Media,2.0,864421b8-98b0-498e-85fc-8fd011792851,Lista de Espera
53108171K,narcpeir429@test.com,2026-02-23 16:15,Pediatría,Renovación de medicación,1.0,,Lista de Espera
88184034X,marcmari965@test.com,2026-02-23 16:15,Cardiología,Volante - Derivación Baja,1.0,13aa8f95-bdaf-42e5-b1ea-66e66437558d,Confirmada
05916827P,larajime934@test.com,2026-02-23 16:30,Medicina General,Consulta General,1.0,,Confirmada
05916827P,larajime934@test.com,2026-02-23 16:45,Medicina General,Revisión de analíticas,1.0,,Confirmada
78688539L,aitasala693@fakeemail.com,2026-02-23 17:00,Medicina General,Renovación de medicación,1.0,,Confirmada
26189238N,larajime934@test.com,2026-02-23 17:00,Medicina General,Renovación de medicación,1.0,,Confirmada
76214236X,aguemart303@example.com,2026-02-23 17:00,Medicina General,Revisión de analíticas,1.0,,Confirmada
53108171K,narcpeir429@test.com,2026-02-23 17:15,Pediatría,Consulta General,1.0,,Lista de Espera
06877156H,larajime934@test.com,2026-02-23 17:15,Medicina General,Renovación de medicación,1.0,,Confirmada
53504438K,marcmari965@test.com,2026-02-23 17:15,Cardiología,Volante - Derivación Media,2.0,729aece8-698b-44cb-8941-80f410d0cf9a,Lista de Espera
95385351G,marcmari965@test.com,2026-02-23 17:30,Cardiología,Volante - Derivación Alta,3.0,8b9c68db-acc5-47b6-aa14-0f9d9aed5603,Confirmada
53108171K,narcpeir429@test.com,2026-02-23 17:45,Pediatría,Consulta General,1.0,,Confirmada
53108171K,narcpeir429@test.com,2026-02-23 18:00,Pediatría,Renovación de medicación,1.0,,Confirmada
72005264S,aguemart303@example.com,2026-02-23 18:00,Medicina General,Revisión de analíticas,1.0,,Lista de Espera
53018179M,marcmari965@test.com,2026-02-23 18:15,Cardiología,Volante - Derivación Baja,1.0,bb12dc6a-4a0a-4e4d-a34c-4614fd5a6663,Confirmada
14793960S,larajime934@test.com,2026-02-23 18:30,Medicina General,Consulta General,1.0,,Confirmada
89850390Q,larajime934@test.com,2026-02-23 18:45,Medicina General,Renovación de medicación,1.0,,Confirmada
53504438K,marcmari965@test.com,2026-02-23 18:45,Cardiología,Volante - Derivación Baja,1.0,09bde8c8-325a-4216-9ec0-fc813440498a,Lista de Espera
66309288N,larajime934@test.com,2026-02-23 19:45,Medicina General,Consulta General,1.0,,Lista de Espera
04248696K,aitasala693@fakeemail.com,2026-02-23 20:00,Medicina General,Revisión de analíticas,1.0,,Lista de Espera
88184034X,larajime934@test.com,2026-02-23 20:00,Medicina General,Consulta General,1.0,,Confirmada
10216925A,marcmari965@test.com,2026-02-23 20:00,Cardiología,Volante - Derivación Baja,1.0,17e94112-2966-4953-b473-b57da0c8c2c4,Confirmada
81445453S,aguemart303@example.com,2026-02-23 20:00,Medicina General,Revisión de analíticas,1.0,,Lista de Espera
35137729P,liliquer145@test.com,2026-02-23 20:15,Oftalmología,Volante - Derivación Baja,1.0,70edf4c1-d6fb-4c8a-ba42-34fcbda59cef,Confirmada
53108171K,narcpeir429@test.com,2026-02-23 20:30,Pediatría,Consulta General,1.0,,Lista de Espera
33229784M,aguemart303@example.com,2026-02-23 20:30,Medicina General,Renovación de medicación,1.0,,Confirmada
53108171K,narcpeir429@test.com,2026-02-23 20:45,Pediatría,Consulta General,1.0,,Confirmada
81445453S,marcmari965@test.com,2026-02-23 20:45,Cardiología,Volante - Derivación Baja,1.0,2fc72d4e-e16e-4ca9-a339-1fd8e7199125,Lista de Espera
33229784M,linopere223@test.com,2026-02-24 08:00,Neurología,Volante - Derivación Baja,1.0,a7a57586-c620-4412-8fc9-7c78fcbcf2ee,Lista de Espera
71414884E,sariteno261@test.com,2026-02-24 08:00,Ortopedia,Volante - Derivación Baja,1.0,9ab37eeb-e777-418a-a349-6400f28d9d82,Confirmada
53504438K,enriport779@fakeemail.com,2026-02-24 08:15,Psiquiatría,Volante - Derivación Baja,1.0,c9e6b920-dab8-427d-8ac2-17a8029c8e02,Lista de Espera
29272085P,linopere223@test.com,2026-02-24 08:15,Neurología,Volante - Derivación Baja,1.0,cb921b97-1928-436a-94a9-d3669a167e36,Confirmada
46728006X,enriport779@fakeemail.com,2026-02-24 08:30,Psiquiatría,Volante - Derivación Baja,1.0,3a0518cd-7cf8-4b4e-824c-64485d5edd6f,Confirmada
04094048W,linopere223@test.com,2026-02-24 08:30,Neurología,Volante - Derivación Alta,3.0,294e5d17-2752-425e-bced-0843afffbd2e,Confirmada
78688539L,enriport779@fakeemail.com,2026-02-24 08:45,Psiquiatría,Volante - Derivación Media,2.0,1fa6ce98-7b2a-49dd-893b-5ca84c6717b3,Lista de Espera
08600140A,linopere223@test.com,2026-02-24 08:45,Neurología,Volante - Derivación Baja,1.0,dd93809a-a72d-4227-86a6-36ad3d338396,Confirmada
92849730H,juanpabl907@fakeemail.com,2026-02-24 08:45,Oftalmología,Volante - Derivación Alta,3.0,95064c05-448b-4f19-9734-bc1ab1a71746,Confirmada
76214236X,anadel212@fakeemail.com,2026-02-24 09:00,Cardiología,Volante - Derivación Media,2.0,9c622a08-f3e2-45f6-b02d-640407ca4291,Lista de Espera
71414884E,tomaguio41@fakeemail.com,2026-02-24 09:00,Pediatría,Revisión de analíticas,1.0,,Confirmada
46094107Z,enriport779@fakeemail.com,2026-02-24 09:00,Psiquiatría,Volante - Derivación Media,2.0,29c3ae36-6ac0-4ee2-9608-f4e3dd4c926d,Confirmada
43713302P,cariflor149@test.com,2026-02-24 09:00,Ginecología,Volante - Derivación Baja,1.0,62e74bb4-3770-432c-aa50-77d685cfa920,Lista de Espera
85613037E,angesast324@test.com,2026-02-24 09:00,Pediatría,Consulta General,1.0,,Lista de Espera
50952260S,linopere223@test.com,2026-02-24 09:15,Neurología,Volante - Derivación Baja,1.0,8e1ec15e-9353-48af-ac13-fa370f9dbea0,Confirmada
06877156H,fideherr429@example.com,2026-02-24 09:30,Dermatología,Volante - Derivación Baja,1.0,b0e602f4-9148-4e07-b960-03925ee850b6,Confirmada
88083451Y,enriport779@fakeemail.com,2026-02-24 09:30,Psiquiatría,Volante - Derivación Baja,1.0,1cb09366-591f-4eee-a198-98fc4ba4151b,Confirmada
90541251A,ceciross98@example.com,2026-02-24 09:30,Oncología,Volante - Derivación Alta,3.0,a31bba9d-95df-46af-923d-337ced1f8b8e,Confirmada
48252795Z,angesast324@test.com,2026-02-24 09:30,Pediatría,Consulta General,1.0,,Confirmada
14064928Z,linopere223@test.com,2026-02-24 09:45,Neurología,Volante - Derivación Baja,1.0,a79a3eaa-8b34-4590-ad1d-3dea18cbc2c7,Lista de Espera
26189238N,enriport779@fakeemail.com,2026-02-24 10:00,Psiquiatría,Volante - Derivación Baja,1.0,a7308e27-cc3f-4b6a-9f7b-edb58bd0db1f,Confirmada
19322046E,ceciross98@example.com,2026-02-24 10:15,Oncología,Volante - Derivación Alta,3.0,e0d70673-0918-4e88-8ecb-2755666c7670,Lista de Espera
90541251A,linopere223@test.com,2026-02-24 10:30,Neurología,Volante - Derivación Baja,1.0,bb208997-a9de-4f22-af9b-838230384df2,Lista de Espera
57315868Y,juanpabl907@fakeemail.com,2026-02-24 11:00,Oftalmología,Volante - Derivación Media,2.0,3e356390-d3bc-448f-a605-3bea0ed36e26,Confirmada
96232651F,ceciross98@example.com,2026-02-24 11:00,Oncología,Volante - Derivación Baja,1.0,c4cc4e11-4bbe-4ac3-94d3-f57e90712bd0,Confirmada
62664196Y,enriport779@fakeemail.com,2026-02-24 11:15,Psiquiatría,Volante - Derivación Baja,1.0,0e7fcb57-2cb3-44f8-930a-c23501412c74,Confirmada
44725030N,fideherr429@example.com,2026-02-24 11:45,Dermatología,Volante - Derivación Baja,1.0,b47e3428-4758-4b2d-be3b-0621dd4ffec0,Lista de Espera
54696743Y,juanpabl907@fakeemail.com,2026-02-24 11:45,Oftalmología,Volante - Derivación Media,2.0,0abd4d0e-a28d-4deb-802b-2c633f3d7f6c,Confirmada
32335435B,linopere223@test.com,2026-02-24 12:00,Neurología,Volante - Derivación Baja,1.0,4ac2d62a-f34e-4461-87c3-f7bc23e2789e,Confirmada
22215088D,angesast324@test.com,2026-02-24 12:00,Pediatría,Revisión de analíticas,1.0,,Confirmada
75608512Z,linopere223@test.com,2026-02-24 12:15,Neurología,Volante - Derivación Baja,1.0,d63e9050-1840-4857-9e48-5fedd80edb5e,Confirmada
45490964T,enriport779@fakeemail.com,2026-02-24 12:30,Psiquiatría,Volante - Derivación Baja,1.0,51aebb0b-c06b-4e89-9c67-a507d94b3ffe,Confirmada
03496609B,angesast324@test.com,2026-02-24 12:30,Pediatría,Revisión de analíticas,1.0,,Lista de Espera
48252795Z,angesast324@test.com,2026-02-24 13:00,Pediatría,Revisión de analíticas,1.0,,Confirmada
89193970Q,enriport779@fakeemail.com,2026-02-24 13:15,Psiquiatría,Volante - Derivación Baja,1.0,0f8b93b4-a5c2-4e7f-b59d-1f196de41559,Lista de Espera
15243013Q,enriport779@fakeemail.com,2026-02-24 13:30,Psiquiatría,Volante - Derivación Baja,1.0,36960e93-234a-4382-8bff-ff7c65fe74e4,Confirmada
14793960S,linopere223@test.com,2026-02-24 13:30,Neurología,Volante - Derivación Baja,1.0,a2760f30-75b7-4e4e-9805-a145eaf6bbec,Lista de Espera
64247077G,linopere223@test.com,2026-02-24 13:45,Neurología,Volante - Derivación Media,2.0,3770eceb-1eaf-4f19-8d1c-d964b4e77cc5,Confirmada
53780937Z,anadel212@fakeemail.com,2026-02-24 14:00,Cardiología,Volante - Derivación Baja,1.0,0481df59-0c5c-4b5c-b8df-565de06c773c,Lista de Espera
64247077G,fideherr429@example.com,2026-02-24 14:00,Dermatología,Volante - Derivación Baja,1.0,961c2380-bb7a-4288-a02a-08c0a679c0b0,Confirmada
71414884E,tomaguio41@fakeemail.com,2026-02-24 14:00,Pediatría,Revisión de analíticas,1.0,,Confirmada
51445312Q,sariteno261@test.com,2026-02-24 14:00,Ortopedia,Volante - Derivación Baja,1.0,bc3a8e61-c3d8-4857-9cf3-c3b44d154ca0,Confirmada
25483108M,enriport779@fakeemail.com,2026-02-24 14:45,Psiquiatría,Volante - Derivación Baja,1.0,1626e8c1-a179-46d1-ab94-41be9a14f9c9,Confirmada
70373989S,aitasala693@fakeemail.com,2026-02-24 15:00,Medicina General,Consulta General,1.0,,Lista de Espera
64485145E,larajime934@test.com,2026-02-24 15:00,Medicina General,Renovación de medicación,1.0,,Lista de Espera
54771485K,liliquer145@test.com,2026-02-24 15:00,Oftalmología,Volante - Derivación Baja,1.0,4ce3d19a-3429-42cb-afb7-d58497d2c2b7,Confirmada
06877156H,larajime934@test.com,2026-02-24 15:30,Medicina General,Consulta General,1.0,,Confirmada
53108171K,narcpeir429@test.com,2026-02-24 15:45,Pediatría,Revisión de analíticas,1.0,,Confirmada
53780937Z,liliquer145@test.com,2026-02-24 15:45,Oftalmología,Volante - Derivación Baja,1.0,77748aba-7590-4a7f-88d5-c7d50c8fbdbe,Confirmada
15191143B,larajime934@test.com,2026-02-24 16:00,Medicina General,Consulta General,1.0,,Confirmada
84580564L,aguemart303@example.com,2026-02-24 16:00,Medicina General,Renovación de medicación,1.0,,Confirmada
53108171K,narcpeir429@test.com,2026-02-24 16:15,Pediatría,Revisión de analíticas,1.0,,Lista de Espera
15191143B,larajime934@test.com,2026-02-24 16:30,Medicina General,Renovación de medicación,1.0,,Lista de Espera
53018179M,liliquer145@test.com,2026-02-24 16:30,Oftalmología,Volante - Derivación Baja,1.0,e8ede2f7-a0c4-4a57-ba0c-b62a341bca2c,Lista de Espera
36032758S,cariflor149@test.com,2026-02-24 16:45,Ginecología,Volante - Derivación Baja,1.0,c5407846-5ae5-4d3d-9f91-8ceadc2ceaa1,Lista de Espera
53108171K,narcpeir429@test.com,2026-02-24 16:45,Pediatría,Renovación de medicación,1.0,,Confirmada
53108171K,narcpeir429@test.com,2026-02-24 17:00,Pediatría,Revisión de analíticas,1.0,,Lista de Espera
37884463J,larajime934@test.com,2026-02-24 17:00,Medicina General,Consulta General,1.0,,Confirmada
81445453S,aguemart303@example.com,2026-02-24 17:00,Medicina General,Consulta General,1.0,,Confirmada
77299811P,larajime934@test.com,2026-02-24 17:15,Medicina General,Consulta General,1.0,,Confirmada
44725030N,cariflor149@test.com,2026-02-24 17:30,Ginecología,Volante - Derivación Media,2.0,690d9144-83c2-47c1-8893-73b9fa22f778,Confirmada
70373989S,aitasala693@fakeemail.com,2026-02-24 18:00,Medicina General,Renovación de medicación,1.0,,Lista de Espera
29099523S,larajime934@test.com,2026-02-24 18:00,Medicina General,Consulta General,1.0,,Confirmada
84580564L,cariflor149@test.com,2026-02-24 18:15,Ginecología,Volante - Derivación Alta,3.0,6270b660-b9e3-4e13-ae6c-0cf3a5fecf0e,Confirmada
26189238N,larajime934@test.com,2026-02-24 19:00,Medicina General,Renovación de medicación,1.0,,Confirmada
43713302P,aguemart303@example.com,2026-02-24 19:00,Medicina General,Revisión de analíticas,1.0,,Lista de Espera
53108171K,narcpeir429@test.com,2026-02-24 19:30,Pediatría,Revisión de analíticas,1.0,,Confirmada
53108171K,narcpeir429@test.com,2026-02-24 19:45,Pediatría,Revisión de analíticas,1.0,,Lista de Espera
77299811P,larajime934@test.com,2026-02-24 19:45,Medicina General,Consulta General,1.0,,Confirmada
53108171K,narcpeir429@test.com,2026-02-24 20:00,Pediatría,Renovación de medicación,1.0,,Confirmada
27059250A,aguemart303@example.com,2026-02-24 20:00,Medicina General,Revisión de analíticas,1.0,,Confirmada
53108171K,narcpeir429@test.com,2026-02-24 20:30,Pediatría,Consulta General,1.0,,Confirmada
53108171K,narcpeir429@test.com,2026-02-24 20:45,Pediatría,Renovación de medicación,1.0,,Lista de Espera
70516985C,sariteno261@test.com,2026-02-25 08:00,Ortopedia,Volante - Derivación Baja,1.0,1285c0c3-6ca6-4843-a18a-8119f932dbeb,Lista de Espera
44725030N,enriport779@fakeemail.com,2026-02-25 08:15,Psiquiatría,Volante - Derivación Baja,1.0,034e4ce4-5443-494b-b13b-4fd3cdbdffb6,Confirmada
45533458J,linopere223@test.com,2026-02-25 08:15,Neurología,Volante - Derivación Media,2.0,3d79228e-7058-4c33-89b5-6fb45bc95e45,Confirmada
43713302P,linopere223@test.com,2026-02-25 08:30,Neurología,Volante - Derivación Baja,1.0,977b3902-b716-4894-8a2c-b4ce3754d23e,Confirmada
85463086P,anadel212@fakeemail.com,2026-02-25 09:00,Cardiología,Volante - Derivación Baja,1.0,aaa324e6-5642-4579-9838-331a8299be88,Confirmada
85463086P,enriport779@fakeemail.com,2026-02-25 09:00,Psiquiatría,Volante - Derivación Baja,1.0,b514eebb-3748-489e-8e56-351f7d0240c6,Confirmada
22215088D,linopere223@test.com,2026-02-25 09:00,Neurología,Volante - Derivación Baja,1.0,5dc704ae-f1c3-4f85-b658-30044f4687be,Confirmada
67223002M,sariteno261@test.com,2026-02-25 09:00,Ortopedia,Volante - Derivación Media,2.0,cc10f5ca-5efc-428d-a89c-9413fca35cec,Confirmada
48252795Z,angesast324@test.com,2026-02-25 09:00,Pediatría,Consulta General,1.0,,Confirmada
67667924S,enriport779@fakeemail.com,2026-02-25 09:15,Psiquiatría,Volante - Derivación Baja,1.0,a73a3539-ec27-4302-9ca9-82ce559226ba,Lista de Espera
67667924S,tereestr837@example.com,2026-02-25 09:30,Traumatología,Volante - Derivación Baja,1.0,0cde0a37-c408-4442-ab26-e9b825be1697,Confirmada
47645559R,primpozo730@test.com,2026-02-25 09:30,Dermatología,Volante - Derivación Baja,1.0,9793c121-c24f-4846-98d6-1b08993e2a80,Lista de Espera
31693038G,enriport779@fakeemail.com,2026-02-25 10:00,Psiquiatría,Volante - Derivación Baja,1.0,94d7e3cc-2606-480b-a433-f105557888d7,Confirmada
91496767F,linopere223@test.com,2026-02-25 10:00,Neurología,Volante - Derivación Baja,1.0,9dc07a0b-be6c-41ff-8e4a-d6e46c951abe,Confirmada
44354450P,tereestr837@example.com,2026-02-25 10:00,Traumatología,Volante - Derivación Baja,1.0,5b084177-98af-4452-a3f6-6dadce864ba6,Lista de Espera
15243013Q,primpozo730@test.com,2026-02-25 10:15,Dermatología,Volante - Derivación Baja,1.0,2e16cc3c-bc43-4ff3-ad64-0f611e0a567e,Confirmada
61065807W,angesast324@test.com,2026-02-25 10:30,Pediatría,Revisión de analíticas,1.0,,Confirmada
71678090Q,enriport779@fakeemail.com,2026-02-25 10:45,Psiquiatría,Volante - Derivación Baja,1.0,3d7612be-bb2a-49b9-9785-36d140601225,Confirmada
71414884E,tomaguio41@fakeemail.com,2026-02-25 11:00,Pediatría,Renovación de medicación,1.0,,Lista de Espera
14793960S,linopere223@test.com,2026-02-25 11:00,Neurología,Volante - Derivación Baja,1.0,a57e3950-ebb2-47f1-9d69-47e4efdc113a,Lista de Espera
88184034X,ceciross98@example.com,2026-02-25 11:00,Oncología,Volante - Derivación Baja,1.0,b69bb7f3-c64b-4caa-8511-26707018141a,Confirmada
61065807W,angesast324@test.com,2026-02-25 11:00,Pediatría,Revisión de analíticas,1.0,,Lista de Espera
45490964T,enriport779@fakeemail.com,2026-02-25 11:15,Psiquiatría,Volante - Derivación Baja,1.0,96fdfc0b-1c06-44c1-8446-5ec030bf18cf,Confirmada
46728006X,cariflor149@test.com,2026-02-25 11:15,Ginecología,Volante - Derivación Alta,3.0,b889d322-982f-447c-a12d-979eaa674b42,Confirmada
81445453S,enriport779@fakeemail.com,2026-02-25 11:30,Psiquiatría,Volante - Derivación Baja,1.0,28dc8029-c38e-43d5-8eb7-3ea898962d1f,Confirmada
60480137G,tereestr837@example.com,2026-02-25 11:30,Traumatología,Volante - Derivación Baja,1.0,367fd9b1-c24c-42c7-95c0-a0848ec870a4,Confirmada
85613037E,enriport779@fakeemail.com,2026-02-25 12:15,Psiquiatría,Volante - Derivación Media,2.0,b2739fbd-098d-4375-8fc3-95270c8af90a,Confirmada
85463086P,linopere223@test.com,2026-02-25 12:15,Neurología,Volante - Derivación Baja,1.0,c63d3010-62f3-4d0e-a7ab-214049ba5a01,Confirmada
